,job_title,company_name,location,post_Date,Qualifications
0,"Data Scientist, Medical Diagnostics",Specific Diagnostics,"Mountain View, CA 94043","<span class=""date"">30+ days ago</span>",
1,Data Scientist,Laxmi Therapeutic Devices,"Goleta, CA 93117","<span class=""date"">14 days ago</span>","Data ScientistLaxmi Therapeutic Devices – Goleta, CAJob DescriptionLaxmi Therapeutic Devices is changing the world, applying cutting edge advances in sensing, microfabrication and electronics to create the next generation of wearable diagnostic devices. We are connecting and empowering consumers, healthcare professionals and treatment providers with personalized medicine. Our versatile product platform enables rapid, inexpensive and dependable screening of important analytes, with the first focus on glucose sensing.Primary responsibilities:Research and develop statistical models for sensor data analysis.Develop custom calibration algorithms to apply to in-vivo and in-vitro data sets.Implement new statistical or mathematical methodologies as needed for specific models or analyses.Optimize existing sensor data analysis tools to enable factory calibrationCollaborate with multi-disciplinary science and engineering teams to understand company data processing and management needs and propose possible solutions.Take lead role in the development of the tools, processes and infrastructure needed to support the data handling and analysis needs for large data sets.Take lead role in statistical analyses to support regulatory filings.Keep up to date with latest technology and data processing trends.Present and communicate results a to key team members and stakeholders.Minimum qualifications:Master's Degree in Computer Science, Statistics, Applied Math or related field.7+ years' practical experience manipulating data sets, building statistical models, doing database programming and data analytics.Extensive experience using statistical computer languages (Python, SQL, Java, R or others) to manipulate data.Experience managing and reporting clinical datasets for regulatory submissions.Strong pattern recognition and predictive modeling skills.Experience with design controls for small businesses.Excellent problem-solving skills.Flexibility to work in a rapidly developing environment.Highly motivated, well organized and able to manage multiple priorities simultaneously.Strong written and oral communication skills.Preferred qualifications10+ years medical device experience and working on wearable or implantable sensor data and calibration.Experience with data management and associated documentation.Knowledgeable on working with and creating data architectures.Prior start-up experience with the ability to quickly adapt to a fast-paced and fast-changing environment.Job Type: Full-timeJob Type: Full-timePay: $90,000.00 - $120,000.00 per yearBenefits:401(k)401(k) matchingDental insuranceHealth insuranceLife insurancePaid time offVision insuranceSchedule:8 hour shiftMonday to FridayBenefit Conditions:Only full-time employees eligibleWork Remotely:Temporarily due to COVID-19"
2,Data Scientist,Blue Owl,"San Francisco, CA","<span class=""date"">30+ days ago</span>","Our Mission
We’re here to create a safer, happier and more mindful future for all with the help of data science, engineering, design, and mobile technology. We're starting by reinventing insurance, by rethinking the technologies that enable it, but our true goal is to build a platform that rewards people for driving well — creating safer roads with fewer accidents in the process.

Backed by impressive funding, we're poised to re-engineer a trillion-dollar category. We’re using rich customer insights, advanced technology and data science to build our cloud-native InsurTech solution. We're out to change behavior and promote mindful living.

Job Requirements
You must have all the skills and experiences associated with one of the options below. These options change over time and reflect the current needs of the team.
Option one - Telematics ML
Machine learning: Kaggle grandmaster-level skills with history of deploying models to production
Telematics experience: You have led telematics modeling at a major company known for telematics
Software development in Python: Strong scientific Python skills using pandas, scikit-learn, and statsmodels, as well as strong understanding of model deployment patterns
Option two - Telematics DL
Deep learning: Experience contributing new deep learning research to solve previously unsolved problems
Telematics experience: You have led telematics modeling at a major company known for telematics
Software development in Python: Strong scientific Python skills using pandas, scikit-learn, and statsmodels, as well as strong understanding of model deployment patterns
Option Three - Contact Center Optimization
Contact center knowledge: You are an expert at using data science methods to optimize contact centers
Machine learning: Strong understanding of ML theory with significant applied experience
Software development in Python: Strong scientific Python skills using pandas, scikit-learn, and statsmodels, as well as strong understanding of model deployment patterns
More details
Salary: We invest in first-rate people and pay top-of-market salaries for most positions, factoring in experience, talent and location. We do not offer equity.
Benefits: Medical, dental, vision, 401(k), wellness reimbursement, four weeks of vacation + six weeks of parental leave, and great work-life balance. Our office building offers on-site shower and bike stalls, and panoramic views of San Francisco.
Location: Due to COVID-19 our teams are all working remotely through 2020. We provide an in-home office set-up including laptop, monitor, ergonomic desk, chair and other items as needed
Location: Post COVID-19: San Francisco, CA near Montgomery Bart Station
All are welcome at Blue Owl. We are an equal opportunity and affirmative action employer who values diversity and inclusion and looks for applicants who understand, embrace and thrive in a multicultural world. We do not discriminate on the basis of race, color, ancestry, religion, sex, national origin, sexual orientation, age, citizenship, marital status, disability, gender identity or Veteran status. Pursuant to the San Francisco Fair Chance Ordinance, we will consider for employment qualified applicants with arrest and conviction records.

 If you are a San Francisco resident, please read the City and County of San Francisco's Fair Chance Ordinance notice.
https://sfgov.org/olse/sites/default/files/FCO%20poster2020.pdf"
3,Data Scientist,Triplebyte,California,"<span class=""date"">19 days ago</span>","About Triplebyte

Triplebyte is transforming the way software engineers are hired. Our mission is to build an open, valuable and skills-based credential for all engineers and data scientists. This is important because millions of people have skills (and deserve good jobs), but don't fit the profile that recruiters seek. We aim to cut out that noise by matching opportunities to people who have the skills to succeed in them - regardless of their background.

Companies like Apple, Dropbox and American Express trust Triplebyte's technical assessment to identify the best engineers for their open roles and reduce the time and effort it takes to hire them.

We raised a $35 million Series B and our team of 64 is growing! We're building out the leadership of our team to help us scale to the next phase.

Press Links:

You can read more about our company and hear from our founders in the press here:

Triplebyte raises $35M for its online coding test and credentialing service for hiring engineers

Triplebyte incubates ColorStack to increase Black and Latinx representation in CS programs

CNBC (Your Next Job Interview Could be with a Robot)

Building an Engineering Team - Harj Taggar and Ammon Bartram

Role Description

As a data scientist at Triplebyte, you'll have the opportunity to work on a variety of challenges to help us scale. You'll be part of a small team, who are leveraging data to fix technical hiring. Your day to day, will include a mix of dataset acquisition, statistical modeling, exploratory data analysis, and software engineering. You'll report directly to Triplebytes' Head of Machine Learning and will work alongside a team of 6-8 machine learning engineers and data scientists.Fields your work will touch on
Psychometrics
Recommender systems
Time series analysis
Survival analysis
Bayesian inference
Probabilistic programming
This is an ideal role for a data scientist who wants the scope and responsibility to own features/products from the inception and research phase through to measuring real-world results.


Compensation and Benefits

Competitive salary and stock options package

Open vacation policy

Employer paid health, vision and dental insurance

401(k) plan with matching

Pre-tax commuter benefits

Daily catered lunches

The Company is an equal opportunity employer and makes employment decisions on the basis of merit and business needs. The Company does not discriminate against employees or applicants (in any aspect of employment, including, but not limited to recruiting and hiring, job assignment, compensation, opportunities for advancement, promotion, transfers, evaluation, benefits, training, discipline, and termination), on the basis of any characteristic protected under applicable federal, state, or local laws."
4,"Data Scientist, Analytics",Evernote,"Redwood City, CA 94063 (Downtown area)","<span class=""date"">1 day ago</span>","About the team:

The Evernote Analytics team is responsible for providing data insights that inform and influence our product and business decisions. We are looking for data scientists who are passionate about using data to solve interesting or challenging problems, to shape the future of what we build at Evernote. The ideal candidate will have a background in a quantitative or technical field, will have experience working with complex data sets, and will have experience in data-driven decision making. You are intellectually curious, focused on results, and have demonstrated success in using analytics to drive the understanding, development, and success of product or marketing initiatives.


What you will do:
Apply your expertise in quantitative analysis, data mining, and data visualization to see beyond the numbers, understand how our users interact and engage with Evernote, and draw actionable insights
Partner closely with product, engineering and marketing teams to solve problems and identify trends and opportunities
Lead the definition of product and business success metrics, collaborate with working teams to ensure correct data tracking instrumentation for measurement
Build reports and dashboards to monitor KPIs (Key Performance Indicators), understand drivers of KPI changes
Help set up experiments, analyze and interpret results
Effectively communicate insights and recommendations to stakeholders
Design and implement predictive models to improve engagement, conversion, and retention
Lead ongoing decisions concerning data collection, test/study design and data analyses


What you have done:
Bachelors or Masters in Computer Science, Statistics, Math, Finance, or other quantitative field
3+ years experience doing quantitative analysis
Experience in querying and manipulating large data sets using data querying languages (e.g. SQL), scripting languages (e.g. Python), or statistical/mathematical software (e.g. R, SAS, Matlab)
Experience with designing and deploying compelling dashboards using business intelligence tools (e.g. Tableau)
Knowledge in applied statistics (e.g. hypothesis testing, regressions, predictive modelings) or experimentation (e.g. A/B testing) in an industry setting
Ability to translate complex data into actionable insights for a non-technical audience


Who you are:
Strong problem solving and analytical skills
Driven self-starter with good attention to detail
Willingness to learn new technologies, tools and approaches to problem solving
Excellent communication and presentation skills
Experience working within the tech sector preferred


We are committed to an inclusive and diverse Evernote. We believe that different perspectives lead to better ideas, and better ideas allow us to better understand the needs and interests of our diverse, global Evernote Community. We welcome people of different backgrounds, experiences, abilities and perspectives and are an equal opportunity employer.


California privacy notice: Read our privacy policy for job applicants here"
5,Data Scientist,Airspace Technologies Inc,"Carlsbad, CA 92010","<span class=""date"">1 day ago</span>","Who Are We?
At Airspace Technologies, we live and breathe our core values: One Team, Customer Obsessed, Trust Through Communication, Impactful Everyday, Passionate about our Mission, and Innovative Mindset. Our Vision is ""To create the most trusted delivery network the world has ever seen - twice as fast at half the cost"", and our Mission is ""To make shipping faster, safer, and more transparent than it's ever been through people, service, and technology."" By applying these to our daily tasks and interactions, we have created a company culture that is unrivaled in our industry.

What We Do:
Airspace Technologies is a critical logistics startup. We’re what happens when next-day shipping isn’t fast enough! From Airplane parts to movie reels and even human organs, our software is revolutionizing the industry by giving shippers a view of their packages in every stage of its transportation. We calculate optimal routes, track airplanes in flight, and automatically dispatch drivers using our native mobile app. We have the obligatory pantry full of snacks, fun company activities, unlimited PTO, 401k contribution matching, and a growing list of benefits that keep employees happy.
Description:
As a data scientist, you will be a part of the team that provides intelligent solutions to complex problems. The Data Science team designs, develops, and implements algorithms anytime there is a business need for smart automated solutions. As a logistics company, Airspace has a lot of moving parts, many of which could be enhanced with machine learning, optimization or statistical modeling. The ideal candidate would be a data scientist with savvy programming skills. In this role, you will work closely with the analytics, backend engineering teams, and product teams.

Responsibilities:
Support and enhance existing optimization and machine learning services
Design, train and deploy production models
Develop probabilistic models
Work closely with the analytics team, data engineers and backend engineers

Qualifications:
Bachelor’s or Master’s degree in Data Science, Computer Science, Math, Statistics or a related discipline
2+ years of data science experience
Proficiency in Python
Strong applied statistics skills
Understanding of various machine learning algorithms
Experience in optimization
Excellent communication skills

Good to have:
Experience with AWS
Experience with deep learning
Experience with Java, Go, C/C++

We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation."
6,Data Scientist,"RMDS Lab, Inc","South Lake, CA","<span class=""date"">15 days ago</span>","About RMDS LabRMDS Lab and its Global Association for Research Methods and Data Science provides data & AI ecosystem services. Our global platform at GRMDS.org enables data & research professionals to meet, learn, and collaborate with fellow data science professionals to solve problems. RMDS Lab was founded in 2009 by IBM Chief Data Scientist Alex Liu and is headquartered in Pasadena, CA with partners worldwide. It serves more than 36,000 members and affiliates around the world. *Job DescriptionData ScientistQualificationsMajor in quantitative background such as Data science, Computer science, Applied Math, etc.Bachelor’s degree or above necessaryExperience in data science work/projects, knowledge and experience in Python and R is required, other programming languages is a plusExperience in processing big amounts of dataStrong communication and writing skillsOne year’s experience requiredStrong interests in machine learning and a fast learnerProject management experience is a plusJob DescriptionYou will be tasked with taking charge of analyzing different data projects to generate insights for practical impactsBuilding analytical workflows on different data sourcesWorking with other experts to assess data and AI maturityWorking with other experts to develop analytical solutions such as risk scoring and recommendation enginesDevelop data science related courses and may deliver the courses when neededProvide consultation on data science and machine learningJob Types: Full-time, Part-time, Internship**RMDS is proud to be an equal opportunity employer. We celebrate diversity and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation, national origin, genetics, disability, age, or veteran status. RMDS is also committed to compliance with all fair employment practices regarding citizenship and immigration status.*Job Types: Full-time, Part-time, InternshipPay: $42.00 - $52.00 per hourCOVID-19 considerations:Employees safety is a number one concern for RMDS. During COVID-19 our employees work remotelyExperience:Data Science: 1 year (Required)Project Management: 1 year (Preferred)Education:Bachelor's (Required)Work Location:One locationWork Remotely:Temporarily due to COVID-19"
7,Data Scientist,Airspace Technologies,"Carlsbad, CA 92010","<span class=""date"">1 day ago</span>","Job Details
Job Location
Airspace Technologies - Carlsbad, CA
Position Type
Full Time
Who Are We?
At Airspace Technologies, we live and breathe our core values: One Team, Customer Obsessed, Trust Through Communication, Impactful Everyday, Passionate about our Mission, and Innovative Mindset. Our Vision is ""To create the most trusted delivery network the world has ever seen - twice as fast at half the cost"", and our Mission is ""To make shipping faster, safer, and more transparent than it's ever been through people, service, and technology."" By applying these to our daily tasks and interactions, we have created a company culture that is unrivaled in our industry.

What We Do:
Airspace Technologies is a critical logistics startup. We’re what happens when next-day shipping isn’t fast enough! From Airplane parts to movie reels and even human organs, our software is revolutionizing the industry by giving shippers a view of their packages in every stage of its transportation. We calculate optimal routes, track airplanes in flight, and automatically dispatch drivers using our native mobile app. We have the obligatory pantry full of snacks, fun company activities, unlimited PTO, 401k contribution matching, and a growing list of benefits that keep employees happy.
Description:
As a data scientist, you will be a part of the team that provides intelligent solutions to complex problems. The Data Science team designs, develops, and implements algorithms anytime there is a business need for smart automated solutions. As a logistics company, Airspace has a lot of moving parts, many of which could be enhanced with machine learning, optimization or statistical modeling. The ideal candidate would be a data scientist with savvy programming skills. In this role, you will work closely with the analytics, backend engineering teams, and product teams.
Responsibilities:
Support and enhance existing optimization and machine learning services
Design, train and deploy production models
Develop probabilistic models
Work closely with the analytics team, data engineers and backend engineers
Qualifications:
Bachelor’s or Master’s degree in Data Science, Computer Science, Math, Statistics or a related discipline
2+ years of data science experience
Proficiency in Python
Strong applied statistics skills
Understanding of various machine learning algorithms
Experience in optimization
Excellent communication skills
Good to have:
Experience with AWS
Experience with deep learning
Experience with Java, Go, C/C++
We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation."
8,Data Scientist,ELT Solutions,"San Jose, CA","<span class=""date"">3 days ago</span>","Location: San Jose, CA, Irving, TX
Salary: DOE

What You’ll Do
As a member of this dynamic and fast-paced team, you will perform cross-functional data engineering and analysis in a big data environment.
Specific responsibilities include:

Collect and organize data requirements and processes
Work with data engineers to ensure the availability of accurate and timely data
Perform impact assessment and deep-dive analysis in collaboration with stakeholders to ensure data integrity, consistency, usability, and completeness
Write SQL for data support for business processes and ETL in Hadoop
Identify patterns and trends and communicate them to stakeholders
Assess usability of new data sources
Apply statistical analysis to quantify impact of business processes.
Extract patterns and actionable insights from data.

Top Skills Required

Demonstrate ability and job history of

Predictive Analytics
Modeling of Predictive Analytics
Statistics Background
SQL, HADOOP and SPARK Experience

Qualification

Bachelor’s degree or equivalent
Strong statistical foundation including descriptive analysis and hypothesis testing
Creative problem solver – ability to identify and analyze complex patterns
Effective communicator with both technical and non-technical audiences.
Proficient in SQL and at least one programming (or scripting) language SPARK, HADOOP"
9,Data Scientist (Full Time; Multiple Openings),RingCentral,"Belmont, CA","<span class=""date"">6 days ago</span>","Data Scientist (Full Time; Multiple Openings)
Location: Belmont, CA
Job Description:
Responsible for analysis and coordination across a broad portfolio of programs to support the scaling of RingCentral’s Innovation department.
Job Duties:
Analyzing complex processes and translating them into business and functional requirements for Analytics use by RingCentral’s customers
Working closely with Network Operations, Systems Operations, Product, Sales and Marketing teams to understand business problems and develop suitable predictive models
Data collection, data mining, cleansing and verifying the integrity of data that is fed to predictive models
Performing ad-hoc data analysis and presenting results in clear manner
Utilizing cutting-edge technology including Hadoop, Hive, Machine Learning and Deep Learning to ingest network and call data for products including Glip, RC Meetings and multiple databases
Developing predictive models based on network traffic data and call data to analyze outages and possible security exploits using machine learning and deep learning
Designing and developing predictive and prescriptive models for churn prediction and product adoption depending on customer usage data
Analyzing the network and system level security threats depending on data and network logs for telephony and RC Meetings applications.
Required Skills/Tools:
Experience with data MySQL, Hadoop, Vertica, Redshift, Statistics, Machine Learning, Java, Python, R, Linux, Informatica Power Center, Salesforce, Oracle Netsuite, Streamsets and Tableau is required.
Education/Experience/Qualifications:
U.S. Master’s degree in Computer Science, Electrical Engineering or a related field, or foreign equivalent, plus two (2) years of related experience, or U.S. Bachelor’s degree or equivalent in Computer Science, Electrical Engineering or a related field plus five (5) years of related experience, is required. Within the foregoing parameters, any suitable combination of education, training and experience is acceptable.
About RingCentral
RingCentral is the worldwide leader in cloud-based communications. Our software communications platform delivers phone, group chat, mobile communications, video calls, videoconference, contact center and AI-driven digital engagement. It’s a powerful, global presence that allows businesses to communicate anywhere, anytime with anyone.
RingCentral is headquartered in Belmont, California and has offices around the world.
RingCentral is an equal opportunity employer that truly values diversity. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status."
